appendix,file,title,provenance,source,notes
E,E Multivariate Regressions/figures/fig50_interaction_formal_years_iaff.png,Interaction: migration tenure and formal financial access,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/figures/fig51_interaction_ietr_icdp_oqi.png,Interaction: practical digital competence and onboarding quality,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/figures/fig52_interaction_iurd_iedf_icpf.png,Interaction: fraud harm and trust/financial climate,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/tables/Table_E1_IURD.txt,Digital-remittance and payment intensity (IURD),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/tables/Table_E2_Formal_Remittance.txt,Formal remittance-channel use,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/tables/Table_E3_IUOF.txt,Financial use and operability (IUOF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/tables/Table_E4_IETR.txt,Transactional experience in remittances and payments (IETR),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/tables/Table_E5_OQI.txt,Onboarding quality (OQI),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/tables/Table_E6_IPCS.txt,Prevention and safe conduct (IPCS),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/tables/Table_E7_IEDF.txt,Fraud exposure and recourse harm (IEDF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/tables/Table_E8_IAER.txt,Economic autonomy in remittances (IAER),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/tables/Table_E9_ICPF.txt,Trust and financial climate (ICPF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/tables/Table_E10_Interactions.txt,Interaction specifications,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/tables/Table_E11_Supplementary_Items.txt,Supplementary item-level models,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/cat_distribution_iadt_cat.png,Categorical distribution of iadt,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/cat_distribution_iaer_cat.png,Categorical distribution of economic autonomy (IAER),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/cat_distribution_iaff_cat.png,Categorical distribution of iaff,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/cat_distribution_iat_cat.png,Categorical distribution of iat,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/cat_distribution_ibpd_cat.png,Categorical distribution of perceived digitalization barriers (IBPD),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/cat_distribution_icdp_cat.png,Categorical distribution of icdp,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/cat_distribution_icpf_cat.png,Categorical distribution of trust and financial climate (ICPF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/cat_distribution_iedf_cat.png,Categorical distribution of fraud exposure and recourse harm (IEDF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/cat_distribution_ieh_cat.png,Categorical distribution of enabling environment (IEH),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/cat_distribution_ietr_cat.png,Categorical distribution of ietr,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/cat_distribution_ipcs_cat.png,Categorical distribution of prevention and safe conduct (IPCS),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/cat_distribution_iuof_cat.png,Categorical distribution of iuof,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/cat_distribution_iurd_cat.png,Categorical distribution of iurd,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/cat_distribution_ivs_cat.png,Categorical distribution of ivs,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/cat_distribution_oqi_cat.png,Categorical distribution of oqi,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_box_iadt_score.png,Box plot of digital transactional self-efficacy (IADT),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_box_iaer.png,Box plot of economic autonomy (IAER),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_box_iaff_score.png,Box plot of formal financial access (IAFF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_box_iat_score.png,Box plot of telecommunications access (IAT),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_box_ibpd.png,Box plot of perceived digitalization barriers (IBPD),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_box_icdp_score.png,Box plot of practical digital competence (ICDP),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_box_icpf.png,Box plot of trust and financial climate (ICPF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_box_iedf.png,Box plot of fraud exposure and recourse harm (IEDF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_box_ieh.png,Box plot of enabling environment (IEH),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_box_ietr_score_01.png,Box plot of transactional experience (IETR),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_box_ipcs.png,Box plot of prevention and safe conduct (IPCS),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_box_iuof_score_01.png,Box plot of financial use and operability (IUOF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_box_iurd_score_01.png,Box plot of digital-remittance and payment intensity (IURD),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_box_ivs_score.png,Box plot of socioeconomic vulnerability (IVS),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_box_oqi_score_01.png,Box plot of onboarding quality (OQI),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_hist_iadt_score.png,Histogram of digital transactional self-efficacy (IADT),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_hist_iaer.png,Histogram of economic autonomy (IAER),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_hist_iaff_score.png,Histogram of formal financial access (IAFF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_hist_iat_score.png,Histogram of telecommunications access (IAT),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_hist_ibpd.png,Histogram of perceived digitalization barriers (IBPD),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_hist_icdp_score.png,Histogram of practical digital competence (ICDP),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_hist_icpf.png,Histogram of trust and financial climate (ICPF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_hist_iedf.png,Histogram of fraud exposure and recourse harm (IEDF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_hist_ieh.png,Histogram of enabling environment (IEH),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_hist_ietr_score_01.png,Histogram of transactional experience (IETR),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_hist_ipcs.png,Histogram of prevention and safe conduct (IPCS),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_hist_iuof_score_01.png,Histogram of financial use and operability (IUOF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_hist_iurd_score_01.png,Histogram of digital-remittance and payment intensity (IURD),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_hist_ivs_score.png,Histogram of socioeconomic vulnerability (IVS),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_hist_oqi_score_01.png,Histogram of onboarding quality (OQI),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_kdensity_iadt_score.png,Kernel density of digital transactional self-efficacy (IADT),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_kdensity_iaer.png,Kernel density of economic autonomy (IAER),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_kdensity_iaff_score.png,Kernel density of formal financial access (IAFF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_kdensity_iat_score.png,Kernel density of telecommunications access (IAT),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_kdensity_ibpd.png,Kernel density of perceived digitalization barriers (IBPD),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_kdensity_icdp_score.png,Kernel density of practical digital competence (ICDP),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
